card,round,a0,ttc0,a1,ttc1,a2,ttc2,a3,ttc3,a4,ttc4,a5,ttc5,a6,ttc6,a7,ttc7,a8,ttc8,a9,ttc9
112,222990,2,723,2,691,3,1978,2,1356,1,372,2,474,6,342,136,10443,6,912,19,2166
113,225049,2,749,2,723,3,2067,2,1418,1,394,3,504,6,373,142,10699,6,966,19,2269
114,227009,2,790,2,758,3,2151,3,1483,1,414,3,525,6,384,145,10934,6,1015,19,2358
115,229120,2,821,2,802,3,2242,3,1534,1,435,3,553,8,407,150,11219,7,1065,19,2441
116,231089,3,869,2,846,4,2328,3,1588,1,466,3,580,9,428,152,11479,7,1109,19,2543
117,233103,3,904,2,882,4,2417,3,1644,1,489,5,610,11,451,156,11791,7,1171,20,2644
118,235135,3,938,2,917,5,2501,3,1704,1,513,6,644,11,477,159,12057,7,1210,20,2739
119,237192,4,978,2,964,6,2603,3,1782,1,541,7,679,11,510,162,12364,8,1272,20,2842
120,239219,4,1031,2,1012,7,2702,3,1848,1,567,7,713,11,535,170,12649,8,1333,21,2943
121,241211,4,1090,2,1054,7,2788,3,1916,1,598,7,738,11,571,171,12942,8,1392,21,3043
122,243225,4,1143,2,1102,7,2893,3,1982,2,629,7,782,12,602,173,13260,8,1447,21,3152
123,245243,4,1192,2,1156,7,3015,3,2062,2,657,7,814,12,633,175,13564,11,1515,22,3264
124,247319,4,1226,2,1196,7,3114,3,2144,4,698,7,848,12,665,180,13864,11,1594,22,3406
125,249321,4,1276,2,1237,8,3208,4,2221,4,725,7,883,12,703,185,14168,12,1667,24,3508
126,251317,5,1324,2,1283,9,3320,5,2301,4,753,7,916,12,734,186,14487,12,1729,24,3619
127,253287,5,1391,2,1353,9,3422,6,2385,4,781,7,963,13,771,191,14781,12,1788,24,3742
128,255361,5,1454,2,1401,10,3548,6,2469,4,823,7,1005,13,809,195,15107,13,1854,24,3857
129,257455,5,1508,3,1460,11,3667,6,2571,4,863,7,1050,14,854,197,15415,14,1934,24,3995
130,259452,5,1562,3,1511,11,3786,6,2653,5,898,7,1087,14,892,203,15731,14,2010,27,4136
131,261406,5,1625,3,1557,12,3896,7,2751,5,927,7,1133,16,932,207,16054,14,2095,28,4262
132,263444,5,1677,3,1621,14,4024,7,2828,6,968,7,1177,17,978,214,16397,15,2175,29,4389
133,265548,7,1739,3,1676,15,4172,8,2924,6,1006,7,1223,18,1024,221,16744,16,2271,31,4545
134,267557,9,1803,3,1750,16,4307,8,3018,6,1055,7,1265,18,1076,226,17071,18,2354,33,4679
135,269538,10,1862,4,1809,16,4418,8,3137,6,1092,7,1327,18,1129,232,17398,18,2441,33,4808
136,271600,10,1942,4,1866,16,4561,8,3231,6,1135,7,1390,18,1179,239,17725,19,2529,35,4969
137,273603,11,2015,5,1936,16,4693,8,3328,6,1187,7,1445,19,1234,243,18047,19,2625,35,5111
138,275628,12,2083,5,2003,16,4826,10,3422,6,1241,7,1494,19,1294,248,18401,21,2713,36,5241
139,277676,13,2161,5,2074,17,4976,12,3522,7,1285,7,1547,21,1357,256,18757,22,2800,37,5397
140,279683,13,2219,5,2131,17,5120,12,3632,7,1330,7,1601,21,1410,258,19067,23,2892,39,5559
141,281714,14,2298,5,2209,17,5272,13,3740,7,1355,7,1663,21,1464,266,19407,23,2992,39,5728
142,283745,14,2386,5,2278,17,5433,13,3849,8,1426,7,1728,22,1526,274,19763,25,3093,40,5888
143,285766,14,2459,5,2340,17,5590,13,3955,8,1478,7,1778,22,1589,280,20123,25,3193,40,6042
144,287791,15,2552,5,2420,18,5742,13,4068,10,1536,7,1836,22,1659,284,20500,26,3288,40,6178
145,289809,15,2604,5,2503,20,5882,13,4197,10,1586,7,1908,26,1715,290,20851,28,3384,41,6341
146,291835,15,2698,5,2580,20,6034,13,4309,11,1645,7,1973,28,1781,295,21231,30,3503,42,6503
147,293909,15,2782,5,2652,20,6204,13,4410,12,1706,9,2040,29,1843,298,21620,32,3608,43,6658
148,295879,15,2859,5,2717,20,6366,13,4518,12,1766,9,2101,30,1919,305,21976,32,3727,44,6819
149,297827,16,2950,5,2802,20,6515,13,4639,12,1829,11,2168,30,1994,308,22306,33,3840,45,6993
150,299912,17,3035,5,2886,20,6674,14,4787,12,1894,11,2230,31,2073,320,22714,34,3945,48,7182
151,301960,19,3124,5,2974,20,6851,16,4932,12,1954,11,2316,32,2160,324,23088,34,4080,49,7350
152,303953,19,3227,5,3079,22,7014,16,5039,12,2024,11,2381,33,2232,329,23448,34,4205,52,7552
153,305934,19,3326,5,3156,22,7201,16,5156,12,2083,11,2463,33,2311,338,23806,35,4304,54,7744
154,307994,20,3401,6,3248,22,7363,16,5284,12,2156,11,2544,33,2387,346,24192,37,4430,56,7912
155,309983,20,3486,6,3338,23,7516,16,5425,12,2228,11,2618,35,2469,353,24566,38,4562,56,8074
156,312049,20,3599,7,3437,23,7705,16,5571,12,2295,11,2688,36,2570,354,24985,39,4699,58,8293
157,314067,20,3703,7,3540,23,7890,17,5704,12,2376,11,2776,37,2662,361,25381,39,4832,58,8501
158,316064,21,3802,8,3647,24,8086,21,5838,12,2464,11,2849,37,2749,368,25779,40,4966,58,8703
159,318084,22,3903,8,3748,25,8279,23,5994,12,2548,12,2955,38,2846,371,26198,40,5099,59,8892
160,320095,23,3999,8,3852,25,8468,23,6130,12,2630,12,3027,38,2939,376,26602,41,5251,61,9088
161,322181,24,4114,8,3955,25,8660,24,6311,13,2713,12,3116,42,3049,380,27023,44,5397,61,9275
162,324188,24,4215,8,4053,25,8864,26,6451,13,2790,14,3200,43,3128,389,27415,45,5528,64,9481
163,326244,24,4323,8,4164,25,9066,26,6605,14,2886,15,3302,45,3223,395,27796,47,5662,68,9700
164,328169,26,4432,10,4268,25,9237,27,6752,14,2971,15,3405,45,3325,400,28209,47,5810,71,9888
165,330233,26,4541,10,4382,26,9442,27,6908,14,3052,16,3503,45,3454,404,28625,48,5964,73,10117
166,332280,27,4641,10,4485,27,9665,28,7091,15,3153,16,3601,45,3553,408,29046,49,6120,73,10312
167,334295,28,4770,12,4610,29,9887,28,7256,16,3249,18,3706,46,3653,413,29440,49,6277,77,10526
168,336320,28,4882,12,4745,29,10091,29,7417,17,3338,20,3810,49,3748,419,29866,50,6437,78,10749
169,338303,29,4982,12,4865,30,10300,29,7568,19,3432,20,3907,52,3859,426,30309,54,6601,80,10963
170,340357,30,5102,12,4970,31,10500,29,7735,19,3523,21,4006,56,3964,434,30730,54,6772,82,11185
171,342348,30,5225,13,5098,31,10725,30,7915,20,3631,22,4135,57,4082,440,31165,54,6916,86,11397
172,344385,31,5358,13,5225,32,10919,30,8088,20,3734,22,4261,58,4199,447,31605,56,7097,87,11616
173,346383,31,5484,13,5359,33,11132,30,8270,23,3855,22,4379,61,4314,455,32049,57,7244,90,11847
174,348374,32,5622,15,5498,33,11350,30,8441,23,3956,24,4484,62,4432,461,32458,58,7431,93,12096
175,350414,32,5742,15,5622,34,11598,30,8612,23,4072,25,4611,65,4548,472,32894,60,7605,94,12354
176,352499,32,5867,16,5753,34,11825,31,8789,24,4167,26,4727,68,4676,478,33349,63,7785,96,12612
177,354461,32,5983,17,5880,36,12057,31,8980,24,4280,26,4855,71,4792,485,33767,64,7939,96,12852
178,356521,33,6114,17,6013,37,12280,31,9173,25,4399,27,4970,73,4913,492,34230,65,8100,98,13088
179,358493,34,6267,18,6168,39,12530,33,9383,28,4511,28,5115,74,5050,496,34676,65,8283,99,13318
180,360606,34,6439,19,6329,41,12765,34,9564,28,4622,29,5244,75,5189,504,35116,66,8481,101,13586
181,362645,34,6558,19,6467,41,13005,35,9774,28,4752,29,5374,78,5322,514,35526,72,8655,103,13835
182,364659,35,6704,20,6611,41,13244,36,9966,29,4877,30,5506,80,5446,526,36016,74,8824,106,14115
183,366636,35,6844,22,6748,42,13472,37,10182,30,5001,32,5645,83,5584,544,36475,74,9013,108,14368
184,368644,36,6984,22,6898,43,13728,39,10378,31,5099,32,5784,84,5722,553,36914,75,9195,112,14618
185,370640,36,7129,23,7034,43,13987,40,10572,32,5229,32,5906,88,5843,558,37377,75,9393,117,14888
186,372737,38,7288,23,7187,43,14230,41,10779,32,5369,33,6057,89,5990,561,37851,76,9593,119,15162
187,374793,38,7446,24,7341,43,14492,41,11011,32,5503,33,6216,91,6144,568,38330,77,9796,121,15421
188,376753,38,7593,24,7486,44,14741,41,11227,34,5618,33,6355,94,6297,572,38796,79,9996,124,15689
189,378744,39,7745,24,7656,44,14982,42,11442,36,5766,33,6486,95,6434,581,39253,79,10186,125,15951
190,380819,39,7930,24,7823,46,15247,43,11648,36,5894,33,6638,97,6601,586,39727,79,10381,133,16197
191,382783,40,8087,24,7974,48,15481,43,11862,36,6029,38,6796,100,6749,594,40187,81,10582,133,16469
192,384892,40,8255,25,8132,49,15766,43,12085,36,6165,39,6954,103,6899,601,40645,85,10810,136,16780
193,386903,40,8407,26,8287,49,16035,44,12301,37,6283,42,7105,107,7042,608,41134,86,10991,140,17073
194,388867,40,8579,27,8453,50,16320,44,12531,38,6414,43,7252,109,7217,620,41542,89,11193,142,17357
195,390861,41,8737,27,8623,50,16564,46,12757,39,6569,48,7401,111,7367,629,42048,92,11406,142,17633
196,392932,41,8921,28,8816,50,16831,47,12993,39,6708,49,7569,113,7548,642,42543,94,11617,144,17934
197,394992,43,9094,28,8976,50,17104,47,13237,40,6868,49,7759,115,7710,654,43063,95,11820,146,18210
198,397015,44,9265,29,9162,51,17383,48,13455,41,7002,50,7926,118,7890,659,43538,96,12014,148,18534
199,398974,46,9421,30,9332,54,17640,49,13685,41,7127,52,8073,121,8053,662,44023,99,12239,148,18839
200,400972,46,9609,30,9503,54,17924,50,13891,41,7299,52,8240,122,8215,674,44508,101,12468,151,19128
