card,round,a0,ttc0,a1,ttc1,a2,ttc2,a3,ttc3,a4,ttc4,a5,ttc5,a6,ttc6,a7,ttc7,a8,ttc8,a9,ttc9
158,316132,12,3430,3,3759,30,8351,13,6039,9,2395,16,2859,29,2572,388,26075,40,5057,70,8280
159,318114,15,3532,3,3872,30,8534,13,6181,10,2463,16,2952,29,2663,397,26485,41,5201,72,8437
160,320134,15,3631,3,3975,30,8713,13,6346,10,2545,16,3050,30,2743,405,26878,44,5343,72,8632
161,322145,15,3728,3,4092,32,8907,14,6499,10,2617,16,3130,32,2816,410,27266,46,5466,75,8825
162,324197,15,3836,5,4196,32,9106,17,6639,10,2700,20,3214,34,2916,419,27716,48,5603,76,9021
163,326259,15,3944,6,4291,32,9281,18,6796,11,2782,20,3327,36,2996,422,28140,48,5757,77,9224
164,328273,16,4057,6,4417,33,9478,18,6985,11,2875,20,3431,37,3082,429,28542,50,5900,79,9412
165,330253,19,4169,7,4542,33,9680,20,7157,11,2956,22,3519,38,3168,438,28918,51,6052,82,9627
166,332286,22,4275,7,4653,34,9896,20,7305,11,3052,23,3629,39,3276,442,29321,52,6210,83,9831
167,334311,23,4413,7,4804,34,10112,20,7471,11,3124,24,3732,40,3376,451,29729,52,6370,84,10046
168,336360,23,4535,7,4904,34,10315,20,7638,11,3220,24,3828,41,3453,461,30185,52,6525,85,10267
169,338417,23,4645,7,5043,35,10545,21,7832,14,3325,24,3958,42,3547,471,30602,54,6673,90,10477
170,340396,24,4766,8,5159,37,10747,22,8004,14,3415,24,4069,43,3653,485,31024,55,6834,90,10670
171,342425,24,4878,9,5309,38,10958,23,8170,14,3499,25,4171,43,3756,487,31452,55,7020,91,10891
172,344491,24,5020,9,5430,38,11154,23,8364,14,3605,25,4278,45,3873,495,31899,55,7173,93,11112
173,346474,25,5149,9,5583,38,11354,23,8556,16,3725,25,4403,45,3979,505,32349,55,7327,95,11318
174,348511,25,5287,9,5702,38,11564,25,8758,17,3841,26,4528,46,4096,512,32775,55,7495,96,11541
175,350563,25,5415,9,5837,42,11792,27,8942,19,3942,27,4649,48,4215,518,33221,58,7674,97,11780
176,352569,25,5556,9,5978,42,12028,28,9137,19,4031,27,4753,49,4319,526,33666,60,7847,99,12018
177,354591,27,5685,10,6121,43,12276,28,9314,20,4124,27,4869,52,4439,534,34109,62,8041,100,12254
178,356626,28,5821,10,6244,43,12480,29,9506,21,4235,29,4995,56,4551,542,34559,62,8204,102,12495
179,358623,28,5960,10,6381,44,12707,29,9718,21,4361,32,5141,57,4663,549,34979,64,8375,105,12723
180,360636,28,6106,11,6548,44,12930,30,9920,21,4474,33,5254,60,4804,559,35425,65,8560,107,12958
181,362681,29,6248,11,6696,46,13182,31,10088,21,4579,34,5378,63,4925,564,35864,65,8762,109,13214
182,364701,30,6409,12,6854,47,13431,31,10295,22,4710,34,5527,63,5052,570,36330,66,8927,112,13470
183,366726,31,6544,14,6994,47,13660,32,10489,22,4829,35,5668,63,5189,580,36808,69,9139,115,13710
184,368732,31,6692,14,7139,47,13883,33,10706,23,4948,35,5815,65,5311,590,37255,72,9314,117,13967
185,370749,31,6833,14,7303,50,14134,33,10888,26,5055,37,5943,66,5431,599,37760,76,9522,117,14215
186,372824,32,7001,15,7475,50,14385,34,11121,27,5192,38,6078,69,5581,609,38197,80,9731,118,14478
187,374821,33,7171,17,7634,50,14628,36,11337,27,5312,41,6232,72,5726,619,38678,82,9919,118,14729
188,376859,33,7335,18,7794,51,14872,36,11559,28,5462,41,6374,72,5858,629,39153,82,10106,122,14980
189,378866,33,7495,19,7972,51,15117,38,11773,29,5586,42,6525,74,6008,633,39614,87,10317,124,15227
190,380898,33,7644,20,8137,51,15346,38,11991,32,5720,42,6674,74,6152,640,40086,88,10516,128,15485
191,382938,33,7825,20,8309,53,15618,38,12215,33,5852,43,6802,74,6310,651,40558,89,10738,129,15749
192,384919,34,7973,21,8468,53,15887,38,12438,34,5992,44,6940,78,6447,661,40990,89,10941,130,16036
193,386923,35,8135,21,8635,56,16153,39,12656,35,6111,45,7092,81,6581,665,41469,91,11155,132,16282
194,388930,36,8301,21,8813,59,16392,40,12853,36,6256,45,7250,85,6740,668,41947,91,11370,133,16571
195,391030,36,8473,21,9005,59,16660,40,13099,37,6412,45,7416,86,6905,682,42457,93,11607,136,16862
196,393035,38,8665,21,9191,59,16929,40,13350,38,6551,47,7572,88,7072,692,42911,94,11826,140,17120
197,394994,38,8835,21,9355,60,17193,40,13587,39,6674,47,7703,89,7235,700,43398,96,12023,142,17377
198,397034,40,9005,21,9538,61,17442,41,13811,39,6834,49,7854,91,7395,706,43925,97,12234,142,17675
199,399095,41,9177,24,9729,63,17685,41,14044,39,6978,50,8013,92,7557,717,44441,98,12472,143,17945
200,401084,44,9338,26,9913,63,17979,42,14284,39,7128,50,8164,93,7720,724,44854,103,12727,145,18249
201,403156,48,9550,27,10116,63,18264,43,14546,40,7280,52,8333,97,7901,730,45376,106,12965,146,18543
202,405177,49,9758,27,10324,64,18560,43,14801,41,7436,54,8502,98,8086,735,45856,107,13200,148,18827
203,407186,49,9939,27,10496,64,18846,44,15057,44,7580,54,8672,102,8261,744,46360,108,13418,148,19125
204,409207,51,10117,27,10702,64,19118,45,15289,44,7762,55,8847,104,8429,754,46869,112,13659,151,19427
205,411204,51,10320,27,10887,65,19392,45,15528,46,7912,57,9018,107,8598,763,47357,113,13913,153,19705
206,413234,55,10517,27,11074,65,19693,46,15811,46,8066,57,9194,110,8776,771,47833,113,14153,158,19999
207,415299,57,10717,28,11276,68,19996,46,16078,47,8214,59,9356,112,8965,776,48334,116,14407,163,20273
208,417321,57,10922,31,11488,68,20295,46,16334,48,8392,59,9533,115,9139,787,48885,118,14668,166,20598
209,419362,60,11131,31,11701,70,20585,49,16607,49,8578,61,9742,117,9330,797,49365,122,14928,168,20917
210,421350,60,11340,31,11892,70,20885,49,16861,49,8760,61,9958,118,9541,810,49887,123,15176,172,21214
211,423375,60,11558,31,12106,71,21199,50,17128,49,8906,63,10130,119,9745,820,50383,125,15448,175,21553
212,425390,60,11783,32,12316,71,21501,51,17437,51,9071,64,10298,121,9921,828,50912,128,15716,178,21827
213,427455,60,11993,32,12551,72,21790,53,17683,52,9267,64,10493,125,10112,844,51442,129,15986,179,22132
214,429489,60,12212,32,12747,73,22137,53,17977,53,9438,65,10693,128,10298,851,51957,129,16225,184,22470
215,431470,60,12432,32,12948,74,22436,53,18240,55,9611,66,10885,130,10497,861,52455,134,16463,188,22750
216,433493,60,12660,32,13160,76,22722,54,18539,56,9795,68,11097,135,10700,867,52949,137,16738,191,23047
217,435539,64,12887,32,13391,78,23053,55,18843,56,9972,69,11286,142,10901,870,53487,141,17025,194,23369
218,437551,66,13128,33,13612,80,23409,55,19147,58,10153,71,11494,146,11077,879,54022,144,17308,196,23705
219,439549,68,13370,35,13882,80,23764,56,19435,61,10357,73,11693,149,11289,887,54527,149,17564,201,24010
220,441638,69,13604,36,14104,81,24098,58,19759,62,10543,74,11923,151,11511,895,55025,153,17852,203,24385
